Отметка времени,Проводили ли Вы когда-либо опросы с использованием онлайн-платформ?,На какой ступени образования Вы сейчас находитесь?,"Создавая опросы, думаете ли Вы о респондентах?","ПО какого производства Вы, как правило, используете для проведения опросов?","Если бы Вы рекомендовали сервис для проведения опросов, которым пользуетесь, родственнику/знакомому/коллеге, какие его ключевые особенности Вы бы выделили?","Какие функции Вы ещё не встречали в сервисах для проведения онлайн-опросов, но хотели бы видеть там?","Как Вы относитесь к тому, чтобы указывать в анкете примерное время, которое затратит на её прохождение респондент?","Как Вы думаете, насколько Ваших респондентов затрудняет необходимость каждый раз вводить одни и те же данные (ФИО, пол, дата рождения и т.д.) при прохождении опросов?","Насколько сложная логика перемещения между вопросами, согласно Вашему опыту, должна присутствовать в сервисе для проведения опросов?",Какие статистические методы Вы чаще всего применяете для анализа полученных ответов?,"Выберите соотношение между простотой использования и мощностью статистического инструментария, наиболее подходящее именно Вам.","Хотели бы Вы, чтобы каждое применение нашим сервисом статистического метода сопровождалось справкой по нему, написанной простым языком?"
2025-11-10 11:18:33.729,Да,Высшее образование,"Да, я разрабатываю всю анкету, ориентируясь на них",Зарубежного,"Автоматическое отображение текущей статистики ответов, Экспорт данных в различных удобных форматах, Возможность настраивать ветвления вопросов, Возможность совместной работы над созданием опросов",Авторассчет среднего времени прохождения опроса ,"Я не пишу: это полезно, но сложно",Слабо затрудняет,Средняя: части анкеты могут скрываться в зависимости от ответов пользователя,"Круговые диаграммы, Точечные графики, Среднее арифметическое, Наиболее встречаемое значение (мода), Гистограммы",7.0,"Мне всё равно – и так знаю, как методы работают"
2025-11-10 11:24:43.638,Да,Высшее образование,"Да, я разрабатываю всю анкету, ориентируясь на них",Затрудняюсь ответить,"Автоматическое отображение текущей статистики ответов, Возможность ограничивать количество выбранных ответов в check box, Наличие надёжной защиты и конфиденциальности данных, Экспорт данных в различных удобных форматах, Наличие шаблонов для анкет, Возможность настраивать ветвления вопросов",Затрудняюсь ответить ,"Всегда указываю, респондент должен понимать сколько времени займёт опрос ","Скорее всего, не затрудняет",Средняя: части анкеты могут скрываться в зависимости от ответов пользователя,Среднее арифметическое,5.0,"Я бы хотел(-а) – тогда я, возможно, смогу понять, что лучше использовать"
2025-11-10 11:31:26.506,Да,Высшее образование,"Нет, я прямо спрашиваю то, что мне нужно узнать",Отечественного,Наличие надёжной защиты и конфиденциальности данных,Не знаю,Я никогда не думал(-а) об этом,Сильно затрудняет,Никакая: все вопросы размещаются на одной странице,Точечные графики,5.0,"Нет, я считаю это излишним в таком приложении"
2025-11-10 11:59:29.393,Да,Высшее образование,"Иногда, изменяя какие-то вопросы для лучшего восприятия",Отечественного,"Наличие надёжной защиты и конфиденциальности данных, Возможность кастомизировать дизайн опроса, Экспорт данных в различных удобных форматах, Возможность настраивать ветвления вопросов, Наличие шаблонов для анкет, Автосохранение ответов у респондента, Автоматическое отображение текущей статистики ответов, Возможность совместной работы над созданием опросов",,"Я не пишу: это полезно, но сложно","Скорее всего, не затрудняет","Базовая: вопросы делятся на разделы, которые проходятся по порядку","Дисперсия, Среднее арифметическое, Наиболее встречаемое значение (мода), Круговые диаграммы, Корреляция между ответами на разные вопросы, Гистограммы, Медиана",5.0,"Мне кажется, что это должно быть обязательной функцией"
2025-11-10 15:32:06.555,Да,Высшее образование,"Да, я разрабатываю всю анкету, ориентируясь на них",Зарубежного,"Наличие надёжной защиты и конфиденциальности данных, Автоматическое отображение текущей статистики ответов, Возможность кастомизировать дизайн опроса","Возможность ещё больше кастомизировать дизайн под себя (больше шрифтов, цветов, изменение дизайна блоков), возможность вставлять музыку и видео, а также понятная документация по использованию сервиса. Ещё такая мечта - встроенная ии, которая по запросу сделает тебе шаблон опросника.","Никогда не писала, поскольку не было надобности, но если бы такая ситуация возникла, я бы писала честно, пробуя проходить опрос сама и округляя значения времени вверх","Скорее всего, не затрудняет","Смотря какой опрос. Но хотелось бы, чтобы и средняя, и, в идеале, сложная логика могла быть воплощена в жизнь","Круговые диаграммы, Медиана, Наиболее встречаемое значение (мода), Среднее арифметическое",3.0,"Я бы хотел(-а) – тогда я, возможно, смогу понять, что лучше использовать"
2025-11-10 19:18:18.187,Да,Высшее образование,"Иногда, изменяя какие-то вопросы для лучшего восприятия",Зарубежного,"Возможность настраивать ветвления вопросов, Автоматическое отображение текущей статистики ответов, Возможность задавать случайный порядок отображения вопросов, Экспорт данных в различных удобных форматах, Наличие шаблонов для анкет, Автосохранение ответов у респондента, Возможность кастомизировать дизайн опроса",,"Я легко и точно узнаю, что писать, благодаря ручной автоматизации",Сильно затрудняет,Средняя: части анкеты могут скрываться в зависимости от ответов пользователя,"Точечные графики, Медиана, Стандартное отклонение, Круговые диаграммы",8.0,"Я бы хотел(-а) – тогда я, возможно, смогу понять, что лучше использовать"
2025-11-12 08:45:58.598,Да,Высшее образование,"Да, я разрабатываю всю анкету, ориентируясь на них",Отечественного,"Автосохранение ответов у респондента, Экспорт данных в различных удобных форматах, Наличие надёжной защиты и конфиденциальности данных",Затрудняюсь ответить ,"Я не пишу: это полезно, но сложно","Скорее всего, не затрудняет","Базовая: вопросы делятся на разделы, которые проходятся по порядку","Гистограммы, Круговые диаграммы",6.0,"Мне кажется, что это должно быть обязательной функцией"
2025-11-12 11:13:10.659,Да,Высшее образование,"Иногда, изменяя какие-то вопросы для лучшего восприятия",Зарубежного,"Возможность совместной работы над созданием опросов, Наличие надёжной защиты и конфиденциальности данных, Автоматическое отображение текущей статистики ответов",,"Я указываю, но надпись, возможно, не соответствует реальности",Слабо затрудняет,Средняя: части анкеты могут скрываться в зависимости от ответов пользователя,"Гистограммы, Круговые диаграммы, Среднее арифметическое",4.0,"Я бы хотел(-а) – тогда я, возможно, смогу понять, что лучше использовать"
2025-11-12 20:08:35.764,Да,Высшее образование,"Да, я разрабатываю всю анкету, ориентируясь на них",Зарубежного,"Возможность кастомизировать дизайн опроса, Наличие надёжной защиты и конфиденциальности данных, Экспорт данных в различных удобных форматах, Возможность настраивать ветвления вопросов, Автоматическое отображение текущей статистики ответов","Возможность оценки результатов, если опрос с верными ответами. ","Я легко и точно узнаю, что писать, благодаря ручной автоматизации","Скорее всего, не затрудняет",Средняя: части анкеты могут скрываться в зависимости от ответов пользователя,"Среднее арифметическое, Гистограммы, Стандартное отклонение, Дисперсия, Медиана, Наиболее встречаемое значение (мода), Круговые диаграммы",7.0,"Я бы хотел(-а) – тогда я, возможно, смогу понять, что лучше использовать"
2025-11-12 22:21:07.638,Да,Высшее образование,"Да, я разрабатываю всю анкету, ориентируясь на них",Отечественного,"Экспорт данных в различных удобных форматах, Возможность кастомизировать дизайн опроса, Автосохранение ответов у респондента, Возможность ограничивать количество выбранных ответов в check box, Автоматическое отображение текущей статистики ответов, Наличие надёжной защиты и конфиденциальности данных",,"Я указываю качественно, но трачу на это много сил",Сильно затрудняет,Средняя: части анкеты могут скрываться в зависимости от ответов пользователя,"Гистограммы, Круговые диаграммы",7.0,"Мне кажется, что это должно быть обязательной функцией"
